"SAN FRANCISCO – It has never been easy to have a rational conversation about the value of gold.","SAN FRANCISCO – Es war noch nie leicht, ein rationales Gespräch über den Wert von Gold zu führen."
"However, it comes at a time when the Union’s eastern neighborhood faces severe challenges, with the financial and economic crisis hitting many of the partner countries hard.","Sie findet allerdings zu einer Zeit statt, in der die östliche Nachbarschaft der Union mit ernsten Herausforderungen konfrontiert ist, und sich die Finanz- und Wirtschaftskrise in vielen der Partnerländer mit voller Wucht niederschlägt."
"Ukraine suffers from the sharp drop in global demand and trade, severely undermining its steel industry.","Die Ukraine leidet unter dem starken Rückgang der weltweiten Nachfrage und des Handels und der daraus resultierenden enormen Schwächung seiner Stahlindustrie."
"Georgia’s economic success has been largely dependent on direct foreign investment, for which there is hardly any appetite today.","Georgiens Wirtschaftserfolg war weitgehend von ausländischen Direktinvestitionen abhängig, nach denen heute kaum verlangt wird."
"Partner countries that are less integrated into the global market, such as Moldova, have seen the crisis arrive more slowly, but the real effect might be equally as bad, and they are likely to recover more slowly.","Auf Partnerländer, die weniger in den globalen Markt integriert sind, wie etwa die Republik Moldau, steuert die Krise in langsamerem Tempo zu, doch der reale Effekt könnte genauso nachteilig sein und sie werden sich wahrscheinlich langsamer erholen."
"The Eastern Partnership does not offer any quick remedies to the crisis.","Die Östliche Partnerschaft hat kein Mittel parat, das rasch Abhilfe für die Krise schaffen könnte."
"But it can provide a political framework and institution-building support to improve the deficiencies that made these countries so vulnerable to the crisis: imperfect market economies, weak state institutions, and continued corruption.","Sie kann jedoch politische Rahmenbedingungen und Unterstützung beim Aufbau von Institutionen bieten, um an der Behebung der Mängel zu arbeiten, die diese Länder so anfällig für die Krise werden ließen: unvollkommene Marktwirtschaften,  schwache staatliche Institutionen und anhaltende Korruption."
"The Eastern Partnership’s offer of deep integration with the EU in the areas such as trade and energy carries with it considerable transformational power.","Das Angebot der Östlichen Partnerschaft einer umfassenden Integration mit der EU in Bereichen wie etwa Handel und Energie bringt beträchtliche transformative Kraft mit sich."
"The other type of crisis that most of the partner countries are enduring is political.","Die andere Art der Krise, in der sich die meisten der Partnerländer befinden, ist politischer Natur."
"In most of these countries, democratic development has not yet reached a point where a change in government is a routine part of political life and can take place without risking the country’s stability.","In den meisten dieser Länder hat die demokratische Entwicklung noch nicht den Punkt erreicht, an dem ein Regierungswechsel ein normaler Bestandteil des politischen Lebens ist und stattfinden kann, ohne die Stabilität des Landes zu riskieren."
"The Eastern Partnership is based on the profound values of democracy, human rights, and the rule of law.","Die Östliche Partnerschaft basiert auf den tiefgreifenden Werten der Demokratie, Menschenrechte und Rechtsstaatlichkeit."
"Political association with the EU, and the process of integration under this Partnership, will promote reforms in these key areas.","Die politische Assoziierung mit der EU und der Prozess der Integration im Rahmen dieser Partnerschaft werden Reformen in diesen Schlüsselbereichen fördern."
"The Swedish EU Presidency will concentrate on starting up the concrete work – the nuts and bolts – of the Partnership.","Die schwedische EU-Präsidentschaft wird sich darauf konzentrieren, die konkrete Arbeit – das A und O – der Partnerschaft in Gang zu setzen."
"The establishment of “Comprehensive Institution-Building Programs,” designed to support reform of key institutions in each partner country, should take place before the year’s end.","Die Einrichtung „Umfassender Programme zum Institutionenaufbau“ zur Unterstützung der Reform wichtiger Institutionen in jedem der Partnerländer soll vor Jahresende stattfinden."
"Some flagship initiatives proposed by the European Commission will finally see the light of day as well, and new projects and initiatives are likely to be developed.","Auch einige der von der Europäischen Kommission vorgeschlagenen Leuchtturmprojekte werden endlich Gestalt annehmen und wahrscheinlich werden neue Projekte und Initiativen entwickelt."
"Here, Sweden will attach particular importance to energy efficiency programs, which will serve not only the purposes of enhancing energy security and reducing costs, but will also be an important contribution to the fight against climate change.","Dabei wird Schweden Programmen im Bereich Energieeffizienz besondere Bedeutung beimessen, die nicht nur der Verbesserung der Energiesicherheit zugute kommen und Kosten senken werden, sondern zudem einen wichtigen Beitrag im Kampf gegen den Klimawandel leisten."
"The Swedish Presidency, together with the European Commission, intends to organize the first meeting of the Eastern Partnership Civil Society Forum this autumn.","Die schwedische Präsidentschaft beabsichtigt, gemeinsam mit der Europäischen Kommission, das erste Treffen des Zivilgesellschaftlichen Forums im Rahmen der  Östlichen Partnerschaft in diesem Herbst zu organisieren."
"We hope to see the start of parliamentary cooperation, as well as exchanges between local and regional authorities of the thirty-three EU and partner countries.","Wir hoffen den Beginn der parlamentarischen Zusammenarbeit, sowie den Austausch zwischen lokalen und regionalen Behörden der dreiunddreißig EU und Partnerländer zu erleben."
"At the end of the year, a meeting of EU foreign ministers and their colleagues from the six partners will assess the progress made so far and give guidance on the way ahead.","Am Jahresende werden die EU-Außenminister und ihre Kollegen der sechs Partnerländer zusammentreffen, um den bis dahin erreichten Fortschritt zu beurteilen und die weiteren Schritte zu lenken."
"The Eastern Partnership is about EU integration, about the six countries moving closer to the EU’s values, legislation, and ways of working, and about the EU being there to support and help this convergence.","Bei der Östlichen Partnerschaft geht es um die EU-Integration, um die sechs Länder, die sich den Werten der EU, ihren Rechtsvorschriften und Arbeitsweisen weiter annähern und darum, dass die EU zur Verfügung steht, diese Annäherung zu fördern und zu unterstützen."
"In Russia, there is a perception that is sometimes fostered which suggests that the Partnership is directed against it.","In Russland wird manchmal eine Auffassung gepflegt, die darauf schließen lässt, dass die Partnerschaft gegen Russland gerichtet sei."
"But this, of course, is untrue.","Das entspricht natürlich nicht der Wahrheit."
"On the contrary, Russia, like Turkey, will be welcome to take part in relevant activities within the Partnership’s multilateral dimensions.","Im Gegenteil: Russland wird, genau wie die Türkei, eingeladen sein, sich an relevanten Aktivitäten innerhalb der multilateralen Dimensionen der Partnerschaft zu beteiligen."
"The Eastern Partnership is not an answer to all the problems and difficulties that the six partners are facing.","Die Östliche Partnerschaft ist keine Antwort auf alle Probleme und Schwierigkeiten, mit denen die sechs Partner konfrontiert sind."
"Nevertheless, it does represent a clear commitment by the EU to lend its political and economic support to their transition and reform – a process that should bring prosperity and stability to the whole region.","Dennoch stellt sie eine klare Verpflichtung der  EU dar, den Übergang und die Reform ihrer Partner durch die Bereitstellung ihrer politischen und wirtschaftlichen Unterstützung zu fördern – ein Prozess, der der gesamten Region Wohlstand und Stabilität bringen sollte."
"PARIS – “Let’s engage Russia if we can, but contain it if we must.” These two alternatives already defined Western strategy toward Russia in the mid-1990’s.","PARIS: Zwei Alternativen bestimmten die westliche Strategie gegenüber Russland bereits Mitte der 1990er Jahre: „Lasst uns Russland einbinden, falls möglich, aber im Schach halten, falls nötig.“ Russland mag sich seitdem dramatisch verändert haben; die Fragen freilich, vor die es uns stellt, sind die gleichen geblieben."
"Since then, Russia may have changed dramatically, but not our questions about it. What do you do when your big neighbor widens the gap that exists between its culture, which is European, and its political system, which is becoming increasingly “Asian,” at least in the bad old sense of “Oriental despotism”?","Was kann man tun, wenn der große Nachbar die bestehende Kluft zwischen seiner Kultur, die europäisch ist, und seinem politisch System, das zunehmend – zumindest im bösen alten Wortsinn des „orientalischen Despotismus“ – zunehmend „asiatisch“ ist, ausweitet?"
"Should the best answer to the return of Russia’s imperial ambitions be a modern version of a Holy Alliance of stability designed to contain the world’s new maverick?","Ist die beste Antwort auf Russlands neuerliche imperiale Ambitionen eine moderne Version einer auf Stabilität ausgerichteten Heiligen Allianz, darauf ausgelegt, dem neuen Außenseiter unserer Welt die Grenzen aufzuzeigen?"
"Or is a latter-day Yalta Conference, aimed at redrawing the political boundaries of Europe, necessary?","Bedarf es einer modernen Fassung der Konferenz von Jalta, die darauf abzielt, die politischen Grenzen Europas neu zu ziehen?"
